Proposal Number,Project number,Account Name,Opportunity Name,Confidence,Stage,Probability (%),Close Date,Carnet Assignment,Date of Carnet Assignment,Durée du Projet (Nb. de semaines),Nb. Hrs. Atelier (Sans Contingence),Nb. Hrs. Élec. (Sans Contingence,Nb. Hrs. Gestion,Nb. Hrs. Logiciel (Sans Contingence),Nb. Hrs. Mec. (Sans Contingence),Nb. Hrs. Procédé (Sans Contingence),Nb. Hrs. RC (Sans Contingence),Nb. Hrs. Robot (Sans Contingence),Main Process Type,Secondary Process Type,Third Process Type,SharePoint,Type de Système(s) Proposé(s)
5502,,Safran Aircraft Engines Mexico (Querétaro),Etude - Blending joint de colle BA Leap,30% Preliminary analysis,Opportunity GO,15,27/03/2020,,,,,,,,,,,,Weld & A.M. Blending,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05502&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5503,,Safran Aircraft Engines Mexico (Querétaro),Etude - Polissage composite aube fan Leap,30% Preliminary analysis,Opportunity GO,15,27/03/2020,,,,,,,,,,,,Controlled Polishing,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05503&v=search"" target=""_blank"">SharePoint Reference</a>",Étude
5380,,TECT Power (Utica),Profiling/Polishing Robotic Cell LE (Part 3423),30% Preliminary analysis,R.O.M. Submitted,25,29/05/2020,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05380&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 800 (Système de Profilage ou Re-Profilage d;aubes FAN)
5567,,Hitchiner Manufacturing,Compressor Blade Profiling,10% Project identified,R.O.M. Submitted,25,26/06/2020,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05567&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 200-i (Système de Profilage Simple)
5839,,Superalloy Manufacturing Solutions Corporation,T-56 Military  Compressor blade profiling/polishing,10% Project identified,R.O.M. Submitted,25,28/08/2020,,,,,,,,,,,,Profiling,Cosmetic Polishing,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05839&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 200-c (Système COMBI (Polissage & Profilage))
5779,,Moeller Aerospace Technologies,Ti LPT Blade Polishing/Deburring,10% Project identified,Budgetary Submitted,40,31/08/2020,,,34,804,260,496,4,897,858,160,674,Cosmetic Polishing,Deburring,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05779&v=search"" target=""_blank"">SharePoint Reference</a>",Système Custom
4460,,Lumenpulse (Montreal),Services,100% Closed Won,Closed Won,100,12/11/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04460&v=search"" target=""_blank"">SharePoint Reference</a>",
5421,,AV&R (Démos Client),Essais d;ébavurage sur Aubes pour Turbine Jet,100% Closed Won,Closed Won,100,16/03/2018,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05421&v=search"" target=""_blank"">SharePoint Reference</a>",
5478,,AV&R (Développement Interne),Fabrication de deux (2) Systèmes Profilage Standards,100% Closed Won,Closed Won,100,27/04/2018,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05478&v=search"" target=""_blank"">SharePoint Reference</a>",
5477,,AV&R (Développement Interne),Fabrication de trois (3) Systèmes Polissage & Profilage,100% Closed Won,Closed Won,100,27/04/2018,,,,,,,,,,,,Polishing Non-Attribué,Profiling,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05477&v=search"" target=""_blank"">SharePoint Reference</a>",
5535,,AV&R (Démos Client),Tests de Profilage pour Leistritz,100% Closed Won,Closed Won,100,22/06/2018,90% Verbal Agreement ou R.O.I. validé par DODE,26/06/2018,3,2,0,13,0,33,64,0,0,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05535&v=search"" target=""_blank"">SharePoint Reference</a>",
5591,,AV&R (Démos Client),Tests de Polissage pour TechJet,100% Closed Won,Closed Won,100,17/08/2018,,,7,2,0,35,0,33,224,0,0,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05591&v=search"" target=""_blank"">SharePoint Reference</a>",
5833,,AV&R (Démos Client),Tests de Polissage & Profilage pour N.E.A.P.,100% Closed Won,Closed Won,100,18/02/2019,,,,,,,,,,,,Cosmetic Polishing,Profiling,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05833&v=search"" target=""_blank"">SharePoint Reference</a>",
6001,,Reliable Automatic Sprinkler Co.,Amélioration d;un système existant en copiant la solution de l;autre fournisseur,10% Project identified,Go/No-Go,10,29/11/2019,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=06001&v=search"" target=""_blank"">SharePoint Reference</a>",Non Applicable
5949,,Azad Engineering Pvt. Ltd,One (1) Robotic LE/TE Profiling System,30% Preliminary analysis,Budgetary Submitted,40,20/12/2019,,,28,297,136,255,0,289,240,,172,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=05949&v=search"" target=""_blank"">SharePoint Reference</a>",BF-X 200-i (Système de Profilage Simple)
,R-1884,Pratt & Whitney (PCI) - Columbus,Onsite support,90%  Verbal or written agreement,Closed Won,100,6/1/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1884&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1866,Dentsply,Dentsply - Support 2014-2015,60% Short listed,Closed Won,100,9/1/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1866&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1893,GEA Piedmont,Support contract 2015,90%  Verbal or written agreement,Closed Won,100,14/01/2015,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1893&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-134,Equipement Boni,Ticket #1598,,Closed Won,100,19/01/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-134&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-81,Wolseley Industrial Group,Spare parts L1219-1953,,Closed Won,100,22/01/2015,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-81&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-81,Wolseley Industrial Group,Spare parts L1219-1506,,Closed Won,100,22/01/2015,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-81&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1839,TruckPro,Support Contract,90%  Verbal or written agreement,Closed Won,100,26/01/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1839&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1904,Detour Gold,Spare parts DGC 4500016730,,Closed Won,100,28/01/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1904&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-81,Wolseley Industrial Group,Spare parts L1219-2024,,Closed Won,100,31/01/2015,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-81&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-131,Wolseley Industrial Group,Spare parts L1219-2120,,Closed Won,100,3/2/2015,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-131&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-134,Equipement Boni,Ticket #1599,,Closed Won,100,3/2/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-134&v=search"" target=""_blank"">SharePoint Reference</a>",
4569,C-186,Wolseley Industrial Group,Spare parts L1219-2120,,Closed Won,100,3/2/2015,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=04569&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00127,GEE Greenville  (NM),DC-02 Drive,90%  Verbal or written agreement,Closed Won,100,6/2/2015,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00127&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1892,Aluminerie Alouette,Services,75% Choosen,Closed Won,100,13/02/2015,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1892&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1890,Pratt & Whitney (PCI) - Columbus,Teach & Tooling Services,75% Choosen,Closed Won,100,18/02/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1890&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00132,Detour Gold,DC-02 GAS SO2 8 PPM,,Closed Won,100,24/02/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00132&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1905,GEE Greenville  (NM),Support 2015,90%  Verbal or written agreement,Closed Won,100,26/02/2015,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1905&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00057,GE Energy others,DC-02 Hole clearing,50% Leading,Closed Won,100,28/02/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00057&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1911,Delta TechOps,Delta Onsite Services,90%  Verbal or written agreement,Closed Won,100,28/02/2015,,,,,,,,,,,,Weld & A.M. Blending,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1911&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00137,LMPI,Appel de service,,Closed Won,100,9/3/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00137&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1909,GEA Bromont,support 2015,,Closed Won,100,11/3/2015,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1909&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-110DC2,Thermoscience,DC-02,,Closed Won,100,11/3/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-110DC2&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00110,Thermoscience,DC-02 Database,75% Choosen,Closed Won,100,13/03/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00110&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1923,FRAM Group,Onsite visit,75% Choosen,Closed Won,100,23/03/2015,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1923&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00132,Detour Gold,DC-03,,Closed Won,100,24/03/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00132&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1910,Revision Military - Essex Junction,Support Contract,90%  Verbal or written agreement,Closed Won,100,24/03/2015,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1910&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00137,LMPI,Appel de service 2550,,Closed Won,100,24/03/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00137&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1927,BWXT Nuclear Energy Canada Inc.,Support Contract,75% Choosen,Closed Won,100,2/4/2015,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1927&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-134,Equipement Boni,Ticket #1632,,Closed Won,100,2/4/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-134&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1932,Lisi (Bologne),On-site Visit,75% Choosen,Closed Won,100,8/4/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1932&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1912,Pratt & Whitney Canada Longueuil,Support annuel 2015,75% Choosen,Closed Won,100,8/4/2015,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1912&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00146,MDA Corporation,Appel de service,90%  Verbal or written agreement,Closed Won,100,15/04/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00146&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1903,Thermoscience,Thermoceramix services,90%  Verbal or written agreement,Closed Won,100,20/04/2015,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1903&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1917,Thermoscience,Services Loading Modifications,90%  Verbal or written agreement,Closed Won,100,20/04/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1917&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1918,GEA Piedmont,Services Design & Build,75% Choosen,Closed Won,100,20/04/2015,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1918&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1938,Lisi (Bologne),Remise à niveau,90%  Verbal or written agreement,Closed Won,100,21/04/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1938&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00108,GEA CAR,DC-06 Positionnement custom,90%  Verbal or written agreement,Closed Won,100,27/04/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00108&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-114,GEA CAR,Training Ellisville,90%  Verbal or written agreement,Closed Won,100,27/04/2015,,,,,,,,,,,,Non-metalic Robotic Operation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-114&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1739,Turbine Jet,Support Contract,50% Leading,Closed Won,100,28/04/2015,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1739&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-131,Wolseley Industrial Group,Spare Parts L1219-3462,90%  Verbal or written agreement,Closed Won,100,4/5/2015,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-131&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1922,Koyo Bearings USA LLC,Support 2015,75% Choosen,Closed Won,100,5/5/2015,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1922&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-134,Equipement Boni,Bon de travail 2425,,Closed Won,100,11/5/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-134&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1947,Pratt & Whitney (PCI) - Columbus,PC-Share upgrade and support,90%  Verbal or written agreement,Closed Won,100,11/5/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1947&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1931,Blue Solution (Batscap),spare parts,60% Short listed,Closed Won,100,20/05/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1931&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00146,MDA Corporation,appel 2015-05-26,,Closed Won,100,26/05/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00146&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00132,Detour Gold,DC-04 Gas SO2,90%  Verbal or written agreement,Closed Won,100,26/05/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00132&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1936,GEA Hooksett,support contract 2015,90%  Verbal or written agreement,Closed Won,100,4/6/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1936&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1924,Koyo Bearings Canada,Support 2015,60% Short listed,Closed Won,100,4/6/2015,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1924&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1952,Pratt & Whitney (PCI) - Columbus,Additional services,90%  Verbal or written agreement,Closed Won,100,11/6/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1952&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1978,GEA Piedmont,Emergency visit,90%  Verbal or written agreement,Closed Won,100,30/06/2015,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1978&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1968,Prodoc Ltée,services,,Closed Won,100,30/06/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1968&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-155,Blue Solution (Batscap),DC-01 spare parts,90%  Verbal or written agreement,Closed Won,100,9/7/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-155&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-131,Wolseley Industrial Group,Spare parts L1219-4316,,Closed Won,100,9/7/2015,,,,,,,,,,,,Deburring,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-131&v=search"" target=""_blank"">SharePoint Reference</a>",
,DC-01,Aluminerie Alouette,Spare Parts,,Closed Won,100,13/07/2015,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=DC-01&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1809-1,GEA Rutland,Support Contract,,Closed Won,100,13/07/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1809-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1975,Thomas & Betts,services,90%  Verbal or written agreement,Closed Won,100,16/07/2015,,,,,,,,,,,,Die Cast - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1975&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1976,GEA Rutland,Keyence spare parts,90%  Verbal or written agreement,Closed Won,100,31/07/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1976&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00127,GEE Greenville (MRO),DC-05 Tool B shafts,75% Choosen,Closed Won,100,31/07/2015,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00127&v=search"" target=""_blank"">SharePoint Reference</a>",
,4385-1,Héroux-Devtek (Longueuil),Modification au système du traitement des eaux,90%  Verbal or written agreement,Closed Won,100,3/8/2015,90% Verbal Agreement ou R.O.I. validé par DODE,17/07/2015,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=4385-1&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1949,GEA Bromont,Onsite visit,90%  Verbal or written agreement,Closed Won,100,10/8/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1949&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1969,GEA Rutland,spare parts shafts,90%  Verbal or written agreement,Closed Won,100,12/8/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1969&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1969,GEA Rutland,spare parts shafts,90%  Verbal or written agreement,Closed Won,100,12/8/2015,,,,,,,,,,,,Profiling,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1969&v=search"" target=""_blank"">SharePoint Reference</a>",
,DC1,Delta TechOps,Spare parts Delta,,Closed Won,100,12/8/2015,,,,,,,,,,,,Weld & A.M. Blending,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=DC1&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00132,Detour Gold,DC-06 GAS SO2 & LEVEL SWITCH,75% Choosen,Closed Won,100,14/08/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00132&v=search"" target=""_blank"">SharePoint Reference</a>",
,DC-06,Detour Gold,Spare parts,,Closed Won,100,14/08/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=DC-06&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1993,Lumenpulse (Montreal),Spare parts buses,75% Choosen,Closed Won,100,26/08/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1993&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1984,I-Buff Pneus Chartrand,Spare parts,30% Preliminary analysis,Closed Won,100,26/08/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1984&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00132,Detour Gold,DC-07 Propane,90%  Verbal or written agreement,Closed Won,100,9/9/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00132&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1995,Pratt & Whitney Canada Longueuil,Services Lock Wire,,Closed Won,100,10/9/2015,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1995&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-1930,Pratt & Whitney Canada Mirabel,Services,75% Choosen,Closed Won,100,10/9/2015,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-1930&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-2006,Bluemed,Services - drive replacement,90%  Verbal or written agreement,Closed Won,100,14/09/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-2006&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-2009,Sanovo Technology USA,Services,90%  Verbal or written agreement,Closed Won,100,16/09/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-2009&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-2007,GEA Bromont,Support pattern,90%  Verbal or written agreement,Closed Won,100,17/09/2015,,,,,,,,,,,,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-2007&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00127,GEE - Singapore,DC-06 Spindle,75% Choosen,Closed Won,100,29/09/2015,,,,,,,,,,,,Polishing Non-Attribué,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00127&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00134,Equipement Boni,ticket 1813,,Closed Won,100,5/10/2015,,,,,,,,,,,,Custom Automation,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00134&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00176,I-Buff Pneus Chartrand,DC-01 repair,,Closed Won,100,6/10/2015,,,,,,,,,,,,Other,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00176&v=search"" target=""_blank"">SharePoint Reference</a>",
,C-00076,Bruckner Supply Company Inc,4502408716,,Closed Won,100,6/10/2015,,,,,,,,,,,,Machine Vision & Custom AVI,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=C-00076&v=search"" target=""_blank"">SharePoint Reference</a>",
,R-2014,GEA Bromont,Spare Parts,,Closed Won,100,8/10/2015,,,,,,,,,,,,AVI - Blade,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=R-2014&v=search"" target=""_blank"">SharePoint Reference</a>",
,,Thermoscience,onsite support,90%  Verbal or written agreement,Closed Won,100,13/10/2015,,,,,,,,,,,,Painting - LEGACY,,,"<a href=""https://avrglobal.sharepoint.com/_layouts/15/sharepoint.aspx?q=&v=search"" target=""_blank"">SharePoint Reference</a>",
